asyncio - DEBUG - Using selector: KqueueSelector
root - INFO - Track: 69RH84na5iUNwrwxpgjC5j. Link: https://api.spotify.com/v1/tracks/69RH84na5iUNwrwxpgjC5j
root - INFO - Track: 6b6IMqP565TbtFFZg9iFf3. Link: https://api.spotify.com/v1/tracks/6b6IMqP565TbtFFZg9iFf3
root - INFO - Track: 69EILuL34ggLWQsa626bes. Link: https://api.spotify.com/v1/tracks/69EILuL34ggLWQsa626bes
root - INFO - Track: 4nop5UmWUqnlxkQ4kvG3Rp. Link: https://api.spotify.com/v1/tracks/4nop5UmWUqnlxkQ4kvG3Rp
root - INFO - Track: 3pbtBomO4Zt5gGiqsYeiBH. Link: https://api.spotify.com/v1/tracks/3pbtBomO4Zt5gGiqsYeiBH
root - INFO - Track: 1JguzruTnY4PrbWu7BKD38. Link: https://api.spotify.com/v1/tracks/1JguzruTnY4PrbWu7BKD38
root - INFO - Track: 4OS8sQZgai4XAJv91EjWgL. Link: https://api.spotify.com/v1/tracks/4OS8sQZgai4XAJv91EjWgL
root - INFO - Track: 1KbuhBnzMHp4eq1q6flhWd. Link: https://api.spotify.com/v1/tracks/1KbuhBnzMHp4eq1q6flhWd
root - INFO - Track: 1UJWs9gXh34F1lV4RFg5rO. Link: https://api.spotify.com/v1/tracks/1UJWs9gXh34F1lV4RFg5rO
root - INFO - Track: 4sIkDCqNjTubfb5UVs8lEA. Link: https://api.spotify.com/v1/tracks/4sIkDCqNjTubfb5UVs8lEA
root - INFO - Track: 7oX8MJu78ZCGAC8lADvIWf. Link: https://api.spotify.com/v1/tracks/7oX8MJu78ZCGAC8lADvIWf
root - INFO - Track: 0cP6MyvBwQwYnGqNAS3lkf. Link: https://api.spotify.com/v1/tracks/0cP6MyvBwQwYnGqNAS3lkf
root - INFO - Track: 6kAS4yj3wHJXcLp93vr5aG. Link: https://api.spotify.com/v1/tracks/6kAS4yj3wHJXcLp93vr5aG
root - INFO - Track: 5pGfZLAljV8ZMXrGNMAbFg. Link: https://api.spotify.com/v1/tracks/5pGfZLAljV8ZMXrGNMAbFg
